country,year,CO2_per_capita,ICT_exports,Internet_users,Mobile_subs,GDP_per_capita,GDP_growth,Trade_openness,Gross_investment,Inflation,Energy_use,Renewable_energy,Electricity_access,Industry_VA,Manufacturing,Services,Agriculture,Population,Urban_pop,Tertiary_enroll,Forest_area,OECD
EGY,2021,,6.39091622093879,72.056,84.0866,3827.35415374308,3.29064601202211,29.8569734808122,18.2122435502994,5.21404940513043,857.821938469275,6.1,100.0,31.1876357851451,15.4852838768741,52.4773050081794,11.4369326589725,110957008.0,42.5686062621468,35.1185317783157,0.0451855944547692,0
EGY,2022,,5.24298133642435,72.1981,90.6795,4233.30783744856,6.58784560886967,36.9831048772713,19.8559132929551,13.8956609775178,902.48842991302,,100.0,32.7114314313038,15.9705322282435,51.4288499840612,10.9457535224737,112618250.0,42.6325129008032,36.462230682373,0.0451855944547692,0
ESP,2000,782.245304962348,,13.625,59.1545,14743.2671031455,5.20064125553942,60.1216241049216,26.6723700485971,3.43351563418767,2991.49306471374,7.9,100.0,28.0206433600126,16.2671468214198,59.1280620289112,3.7443114170073,40567864.0,76.1650552349602,58.4075393676758,34.256372745491,1
ESP,2001,761.824634432211,,18.1487,71.9003,15368.2337984435,3.91908880808811,58.0138895625701,26.4824711323646,3.58983413338112,3048.84384472463,8.9,100.0,27.9885528091555,15.8297644081386,59.4941494354869,3.67425723081839,40850412.0,76.3156889510385,61.0042190551758,34.5805002808313,1
ESP,2002,794.487490049781,,20.39,80.3028,17111.0685058941,2.75545611564098,55.1021415309759,26.705648861478,3.06565685902219,3095.99686843763,7.4,100.0,27.7644102520327,15.1898514693015,59.8999125034679,3.48212189760772,41431558.0,76.4934217249538,63.7400817871094,34.8353077909586,1
ESP,2003,781.609370676824,,39.93,87.5626,21522.0170990262,2.9392895953076,53.4357897202258,27.5285511216757,3.03888839396655,3145.4023925367,8.9,100.0,27.4144338425007,14.6017792827305,59.8832914114289,3.42077756723389,42187645.0,76.709335590859,65.5322113037109,35.114186414535,1
ESP,2004,797.017748493249,,44.01,89.3326,24925.0267844576,3.1145314799161,54.4795182656074,28.3028257363739,3.03924881090925,3226.28942874321,8.0,100.0,26.9674522329282,14.0176429756563,60.126223898593,3.11780935959045,42921895.0,76.9549627547133,67.4735717773438,35.4070555711367,1
ESP,2005,792.775884384718,,47.88,97.1228,26450.9530130382,3.5512255846125,54.6991667043772,29.4041085115965,3.36881409750383,3239.54436471806,7.3,100.0,27.1317779343664,13.5021042492259,59.8643281809934,2.75836581828682,43653155.0,77.2206801920294,68.1358337402344,35.7042517381635,1
ESP,2006,754.332514671325,,50.37,102.236,28421.686527407,4.04343515605099,56.0839263823216,30.5843124611931,3.51557576832128,3190.72627710892,8.5,100.0,26.8985528012609,13.0718544522456,60.0821313145787,2.40075384884813,44397319.0,77.4968648783202,68.9646224975586,36.002998116157,1
ESP,2007,744.056130337687,,55.11,106.384,32652.015594702,3.53350013165972,57.6269487657546,30.458980215138,2.78679745804946,3168.95970956596,9.0,100.0,26.2669355504802,12.6067592787653,61.3507049847755,2.4946614560374,45226803.0,77.7738937890987,69.2297668457031,36.2844202680772,1
ESP,2008,643.499153890845,,59.6,107.328,35603.248328071,0.767165748290694,55.8281315172523,28.4790441123592,4.07534335957339,3015.00798974738,9.7,100.0,26.1869489550822,12.3951846045421,63.6271700202799,2.35367195478016,45954106.0,78.0421438998777,69.4019393920898,36.5979510825982,1
ESP,2009,522.337363030867,,62.4,109.472,32279.8208476151,-3.76813306940053,46.8366899971109,23.3519417701936,-0.28781308353524,2749.85548907362,12.2,100.0,24.7821508122163,11.3278781722104,66.6845916550946,2.24960158062983,46362946.0,78.2919921861701,71.4311676025391,36.8992880920868,1
ESP,2010,472.066721402944,,65.8,109.712,30658.7422282912,0.0941223116369514,52.6933699734019,22.3988413816153,1.79986457728769,2735.18257337486,14.4,100.0,22.985948966945,11.114195396163,66.4836210538043,2.41740898393438,46576897.0,78.5138156234888,76.3829116821289,37.089938201236,1
ESP,2011,406.935011122943,,67.09,111.899,31824.6219134777,-0.639920636520344,58.5118228859632,20.7135839205008,3.1961018883379,2684.34318918947,14.7,100.0,21.8871702738867,11.2014709597732,67.9189474964676,2.3625185975353,46742697.0,78.695397956495,80.7240905761719,37.1019204609106,1
ESP,2012,347.314145719654,,69.81,107.756,28456.4438151477,-2.86511368637748,60.5540346961864,18.5944685336556,2.44612782366809,2677.18038552382,15.8,100.0,20.7992748782776,10.8118621882614,68.7981435648343,2.39776671776239,46773055.0,78.8455680301618,82.89208984375,37.0797784930329,1
ESP,2013,312.656834549185,9.72318544518363,71.635,107.039,29228.846559842,-1.42732224757626,61.6687726441327,17.412338687976,1.40858109183019,2506.25540520067,16.9,100.0,20.0279432010078,10.8662587310316,68.7816140367298,2.60946207875576,46604197.0,78.9858086902112,85.2132568359375,37.0821135123248,1
ESP,2014,264.789035045752,10.1857618753055,76.1867,108.746,29707.765509467,1.52048593647231,63.39926213895,18.1481477916625,-0.151114837527235,2458.57177736167,17.3,100.0,19.8695989889783,10.9975561841823,68.7044311125955,2.52697678134345,46460733.0,79.1196713833488,88.0015563964844,37.0844485316167,1
